ITEM,EFFECTS,DURATION,ADDICTIVE?,WEIGHT,COST,RARITY,ADDICTION,USE
Addictol,Removes all addictions,Instant,0,<1,125,3,-,-
Antibiotics,Cures all illnesses,Instant,0,<1,75,3,-,-
Berry Mentats,Reduce the difficulty of INT tests by '2 (minimum '0),Lasting,2,<1,60,3,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions)",-
Buffjet,"Reduce the difficulty of all STR and END tests by '1 (minimum '0). '+4 Max HP, Gain '3 AP immediately (lost if not spent), Extra actions cost '1 less AP",Brief,1,<1,75,4,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Buffout,"Re-roll 1d20 on all STR and END tests, '+3 Max HP",Lasting,2,<1,45,2,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Bufftats,"Reduce the difficulty of all STR, PER, and END tests by '1 (minimum '0), '+4 Max HP",Lasting,1,<1,75,4,"Buffout Addiction: A failed addiction roll renders you addicted to Buffout. You increase the difficulty of all STR and END tests by +1 whenever you are not under the effects of a type of Buffout (Buffout, Buffjet, or Bufftats).",-
Calmex,"Re-roll 1d20 on all PER and AGI tests, '+2CD to sneak attack damage",Lasting,1,<1,100,4,Calmex Addiction: A failed addiction roll renders you addicted to Calmex. You suffer complications on AGI tests on all rolls of 18 or higher whenever you are not under the effects of Calmex.,-
Daddy-O,"Reduce the difficulty of all PER and INT tests by '1 (minimum '0), '+1 difficulty to CHA tests",Lasting,1,<1,50,2,Daddy-O Addiction: A failed addiction roll renders you addicted to Daddy-O. You increase the difficulty of all PER and INT tests by +1 whenever you are not under the effects of Daddy-O.,-
Day Tripper,"Reduce the difficulty of CHA and LCK tests by '1 (minimum '0), '+1 difficulty to STR tests",Lasting,1,<1,40,3,Day Tripper Addiction: A failed addiction roll renders you addicted to Day Tripper. You increase the difficulty of all CHA and LCK tests by +1 whenever you are not under the effects of Day Tripper.,-
Fury,"+3 Physical damage resistance. '+3CD to melee damage, '+2 difficulty to all PER tests",Lasting,1,<1,30,4,Fury Addiction: A failed addiction roll renders you addicted to Fury. You increase the difficulty of all STR and PER tests by +1 whenever you are not under the effects of Fury,-
Grape Mentats,"Reduce the difficulty of CHA tests by '2, to a minimum of '0, Re-roll 1d20 on Barter tests",Lasting,2,<1,60,3,"Mentat Addiction: A failed addiction roll renders you addicted to Mentats. You increase the difficulty of all CHA tests by +1 whenever you are not under the effects of a type of Mentat (ordinary Mentats, or the Berry, Grape, or Orange versions).",-
Healing Salve,Heals '2 HP (see description),Instant,0,<1,20,1,-,"Use: Healing salve can be used in one of two ways: it can be applied using the Take Chem minor action, healing 2 HP immediately, or it can be applied as part of a First Aid action, adding +2 to the number of HP healed overa"
Jet,Extra actions cost '1 less AP,Brief,2,<1,50,2,"Jet Addiction: A failed addiction roll renders you addicted to Jet. You increase the difficulty of all AGI tests by +1 whenever you are not under the effects of a type of Jet (Jet, or Jet Fuel; Ultra Jet has a different addiction effect)",-
Jet Fuel,Gain '1 free AP at the start of each turn,Lasting,1,<1,60,3,"Jet Addiction: A failed addiction roll renders you addicted to Jet. You increase the difficulty of all AGI tests by +1 whenever you are not under the effects of a type of Jet (Jet, or Jet Fuel; Ultra Jet has a different addiction effect)",-
Med-X,+3 Physical damage resistance,Lasting,2,<1,50,2,"Med-X Addiction: A failed addiction roll renders you addicted to Med-X. You increase the difficulty of all AGI tests by +1, and suffer +1CD additional damage from all physical attacks whenever you are not under the effects of Med-X.",-
