PERK,RANKS,REQUIREMENTS,MINIMUM LEVEL,RESTRICTION,DESCRIPTION
ACTION BOY/GIRL,1,–,–,–,"When you spend AP to take an additional major action, you do not suffer the increased skill test difficulty during your second action."
ADAMANTIUM SKELETON,3,END '7,1,–,"When you suffer damage, the amount of damage needed to inflict a critical hit on you increases by your rank in this perk. For example, if you have one rank in this perk, you suffer a critical hit from '6 or more damage, rather than '5 or more. Each time you take this perk, the level requirement increases by '3."
ADRENALIN RUSH,1,STR '7,–,–,"When your health is below its maximum value, you count your STR score as '10 for all purposes when attempting a STR-based skill test or melee attack."
ANIMAL FRIEND,2,CHA '6,1,–,"At rank '1, whenever a creature NPC with the Mammal, Lizard, or Insect keyword would attack you, roll 1DCD: on any result other than an Effect, the creature chooses not to attack you, although it may still attack another character it can target. At rank '2, you can attempt a CHA + Survival test with a difficulty of '2 as a major action. If you succeed, the animal treats you as friendly and will attack anyone who attacks you. Mighty and Legendary animals are unaffected by this perk. Each time you take this perk, the level requirement increases by '5."
AQUABOY/AQUAGIRL,2,END '5,1,–,"Water is your ally. At rank '1, you no longer take radiation damage from swimming in irradiated water, and you can hold your breath for twice as long as normal. At rank '2, enemies add '+2 to the difficulty to tests to detect you while you are submerged underwater. Each time you take this perk, the level requirement increases by '3."
ARMORER,4,"STR '5, INT '6",–,–,"You can modify armor with armor mods. Each rank in this perk unlocks an additional rank of mods: rank '1 unlocks rank '1 mods, rank '2 unlocks rank '2 mods, etc. Each time you take this perk, the level requirement increases by '4."
AWARENESS,1,PER '7,–,–,"When you take the Aim minor action at a target within Close range, you spot their weaknesses and can attack more efficiently. The next attack you make against that target gains the Piercing '1 damage effect, or improves the rating of any existing Piercing X damage effect by '1."
BARBARIAN,1,STR '7,4,Not a robot,Your physical Damage Resistance increases on all hit locations based on your STR. You do not gain this benefit while wearing Power Armor. • STR '7-'8: '+1 physical DR • STR '9-'10: '+2 physical DR • STR '11+: '+3 physical DR
BASHER,1,STR '6,–,–,"When you make a melee attack by bashing with your gun (see p.111), your attack gains the Vicious damage effect."
BETTER CRITICALS,1,LCK '9,–,–,"When you inflict one or more points of damage to an enemy, you may spend '1 Luck Point to automatically inflict a critical hit, causing an injury."
BIG LEAGUES,1,STR '8,–,–,"When you make a melee attack with a two-handed melee weapon, the weapon gains the Vicious damage effect."
BLACK WIDOW/LADY KILLER,1,CHA '6,–,–,"The Black Widow perk affects men and masculine characters, while the Lady Killer perk affects women and feminine characters—they are otherwise identical. When you attempt a CHA based skill test to influence a character of the chosen gender, you may re-roll 1d20. In addition, your attacks inflict '+1DCD additional damage against characters of the chosen gender."
BLACKSMITH,3,STR '6,2,–,"You can modify melee weapons with weapon mods. Each rank in this perk unlocks an additional rank of melee weapon mods: rank '1 unlocks rank '1 mods, rank '2 unlocks rank '2 mods, and rank '3 unlocks rank '3 mods. Each time you take this perk, the level requirement increases by '4."
BLITZ,2,AGI '9,1,–,"When you move into reach of an opponent and make a melee attack against them in one turn, you may re-roll one d20 on your attack. At rank '2, you also inflict '+1CD damage with that attack. Each time you take this perk, the level requirement increases by '3."
BLOODY MESS,1,LCK '6,–,–,"When you inflict a critical hit, roll 1DCD; if you roll an Effect, you inflict one additional injury to a random location."
CAN DO!,1,LCK '5,–,–,"When you are scavenging a location that contains food, you gain '1 additional random food item, without spending AP."
CAP COLLECTOR,1,CHA '5,–,–,"When you buy or sell items, you may increase or decrease the price of the goods being traded by '10%."
CAUTIOUS NATURE,1,PER '7,–,–,"Whenever you attempt a skill test, and you buy one or more d20s by spending Action Points, you may re-roll 1d20 on that test. You may not purchase this perk if you have Daring Nature."
CENTER MASS,1,AGI '7,–,–,"When you make a ranged attack, you may choose to strike your target's Torso location (or equivalent, for creatures that use a different location table) without increasing the difficulty of the attack. In addition, you may re-roll 1d20 when making the test for your attack."
CHEM RESISTANT,2,END '7,1,–,"At rank '1, roll one fewer CD when determining if you become addicted to chems, to a minimum of '0. At rank '2, you cannot become addicted to chems. Each time you take this perk, the level requirement increases by '4."
CHEMIST,1,INT '7,–,–,"Chems you create last twice as long as normal (see p.164). In addition, you unlock chems recipes that have this perk as a requirement."
COMMANDO,2,AGI '8,2,–,"When you make a ranged attack with any weapon with a Fire Rate of '3 or higher (except heavy weapons), you add '+1DCD per rank to the weapon's damage. Each time you take this perk, the level requirement increases by '3."
COMPREHENSION,1,INT '6,–,–,"After you use the bonus gained from reading a magazine, roll 1CD. If you roll an Effect, you may use that bonus one additional time."
CONCENTRATED FIRE,1,"PER '8, AGI '6",–,–,"When you make a ranged attack and spend ammunition to increase the damage, you may re-roll up to '3CD for your damage roll."
DARING NATURE,1,LCK '7,–,–,"Whenever you attempt a skill test, and you buy one or more d20s by giving the gamemaster Action Points, you may re-roll 1d20 on that test. You may not purchase this perk if you have Cautious Nature."
DEMOLITION EXPERT,1,"PER '6, LCK '6",–,–,"When you make an attack using a weapon with the Blast quality, the attack gains the Vicious damage effect. In addition, you unlock explosives recipes which have this perk as a requirement."
DODGER,2,AGI '6,4,–,"At rank '1, when you take the Defend major action, you reduce the difficulty of the skill test by '1. At rank '2, the AP cost to further increase your Defense is reduced to '1 AP. Each time you take this perk, the level requirement increases by '6."
DOGMEAT,1,CHA '5,–,–,"You aren't alone in the wilderness. You have a pet dog that serves as a friend and ally in dangerous times. The dog has the profile shown to the side and is treated as an allied NPC creature under your command (see p.338). If you need to forage for food and water, your dog looks after themselves. If your dog is slain, then you either find a new dog before the next adventure, or you may trade this perk for a different one after this adventure."
ENTOMOLOGIST,1,INT '7,–,–,"When you make an attack against an NPC with the Insect keyword, your attack gains the Piercing '1 damage effect, or improves the rating of any Piercing X effect the weapon has by '+1."
FAST METABOLISM,3,END '6,1,Not a robot,"When you regain one or more HP from any source other than rest, increase the total HP regained by '+1 per rank in this perk. Each time you take this perk, the level requirement increases by '3."
FASTER HEALING,1,END '6,–,Not a robot,"When you make an END + Survival test to heal your own injuries, the first additional d20 you buy is free. The normal maximum of 5d20 still applies."
FINESSE,1,AGI '9,–,–,"Once per combat encounter, you may re-roll all the DCD on a single damage roll without spending any Luck points."
